22:43:16.157993 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10263708:10263952, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158081 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10263952:10264196, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158171 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10264196:10264440, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158308 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10264440:10264684, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158420 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10264684:10264928, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158516 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10264928:10265172, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158606 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10265172:10265416, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158700 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10265416:10265660, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158791 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10265660:10265904, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158900 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10265904:10266148, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.158994 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10266148:10266392, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159096 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10266392:10266636, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159187 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10266636:10266880, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159283 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10266880:10267124, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159373 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10267124:10267368, ack 5941, win 1972, options [nop,nop,TS val 3359211462 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159475 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10267368:10267612, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159568 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10267612:10267856, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159661 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10267856:10268100, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159763 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10268100:10268344, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159865 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10268344:10268588, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.159953 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10268588:10268832, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160042 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10268832:10269076, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160139 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10269076:10269320, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160228 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10269320:10269564, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160333 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10269564:10269808, ack 5941, win 1972, options [nop,nop,TS val 3359211463 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160441 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10269808:10270052, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160546 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10270052:10270296, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160645 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10270296:10270540, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160740 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10270540:10270784, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160854 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10270784:10271028, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.160953 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10271028:10271272, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161053 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10271272:10271516, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161153 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10271516:10271760, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161241 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10271760:10272004, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161340 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10272004:10272248, ack 5941, win 1972, options [nop,nop,TS val 3359211464 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161450 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10272248:10272492, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161550 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10272492:10272736, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
